망장애작업일련번호|망장애작업복구번호|복구소요시간;
9803658|2785807|44;
10612588500|2785793|17;
10612588500|2785806|57;
10612588500|2785444|18;
10612588500|2785641|17;
10612588500|2785642|17;
9803007|2785691|47;
9803131|2785808|51;
10612603100|2785456|4;
9803020|2785717|17;
9803021|2785718|16;
10612602800|2785450|5;
9799281|2785370|74;
10612612300|2786071|5;
10612612900|2785810|5;
9801170|2785655|141;
10612613100|2785656|5;
10612612700|2785811|10;
10612611200|2785809|5;
10612612100|2785884|16;
10612595000|2785648|10;
9803016|1|33;
9803017|1|32;
9803018|1|31;
10612612400|2785460|14;
10612611800|2785459|4;
5578033603|1|15;
10612594400|2785649|5;
9802907|2786171|116;
10612614000|2785885|7;
10612614000|2785812|7;
10612614000|2785461|7;
10612614000|2785463|7;
10612614000|2785658|7;
10612599600|2785654|25;
9803838|2786172|83;
10612592400|2785266|6;
10612592400|2785443|5;
10612592400|2785692|6;
10612592400|2785693|6;
10612594500|2785875|5;
10612615700|2785978|5;
9803594|2785888|43;
10612611100|2785815|33;
10612244700|2785976|1408;
10612299200|2785470|775;
10612615800|2785816|5;
9804055|1|0;
10612614000|2786073|7;
10612614000|2786074|7;
10612244700|2786072|1408;
10612614000|2785975|7;
10612244700|2785070|1411;
10612244700|2783911|4;
10612244700|2785659|1408;
9803707|2786271|3;
10612611300|2785889|40;
10612612800|2785887|3;
10612616500|2785663|5;
10612607000|2785879|5;
10612607000|2785880|4;
10612607000|2785881|4;
10612607000|2785882|4;
10612607000|2785797|4;
10612607000|2785798|4;
10612607000|2785799|4;
10612607000|2785800|4;
10612607000|2785801|4;
10612607000|2785802|4;
10612607000|2785803|4;
10612607000|2785805|4;
10612607000|2785059|4;
10612607000|2785060|4;
10612607000|2785061|4;
10612607000|2785062|4;
10612607000|2785063|4;
10612607000|2785064|4;
10612607000|2785065|4;
10612607000|2785066|4;
10612607000|2785067|4;
10612607000|2785068|4;
10612607000|2785360|4;
10612607000|2785361|4;
10612607000|2785362|4;
10612607000|2785363|5;
10612607000|2785364|4;
10612607000|2785365|4;
10612607000|2785366|4;
10612607000|2785451|4;
10612607000|2785452|4;
10612607000|2785453|4;
10612607000|2785454|4;
10612607000|2785703|4;
10612607000|2785704|4;
10612607000|2785705|4;
10612607000|2785706|4;
10612607000|2785707|4;
10612607000|2785708|4;
10612607000|2785709|4;
10612607000|2785710|4;
10612607000|2785711|4;
10612607000|2785650|4;
10612607000|2785651|4;
10612607000|2785652|4;
10612607000|2785653|4;
10612607000|2785971|4;
10612607000|2785972|5;
10612607000|2785804|4;
10612614700|2785722|10;
10612612600|2785720|5;
10612615500|2785721|5;
10612615500|2785468|5;
10612615500|2785662|5;
10612615000|2785660|5;
10612616000|2785818|5;
10612616000|2786173|5;
9803025|2785727|39;
9803026|2785725|38;
9803023|2785726|39;
10612617100|2785728|6;
10612615900|2785891|25;
9804240|2785892|15;
10612611600|2785982|54;
9803855|2785729|41;
9803074|2786174|121;
9803300|2785664|140;
9803075|2786176|121;
9803075|2786177|121;
9803076|2786178|122;
10612212700|2785983|1528;
10612617300|2785820|5;
10612617300|2786175|4;
10612617300|2785730|7;
10612617300|2785731|4;
9802937|2786077|63;
10612616200|2786076|5;
9803845|2786179|88;
9802936|2786078|64;
9802923|2786272|64;
9802923|2786273|64;
5011437234001|2785893|64;
9803828|2785665|8;
9802935|2786079|64;
9802928|2786274|64;
9802928|2786275|64;
9802934|2786080|64;
9802933|2786081|65;
9803645|2786276|95;
9802932|2786082|65;
9803669|2786277|65;
9802931|2786083|65;
10612303500|2785666|776;
9802925|2786278|65;
9802925|2786279|65;
9803683|2786084|66;
9802926|2786280|66;
9802930|2786085|66;
9802927|2786281|66;
9802929|2786086|66;
9802929|2786282|66;
9803671|2786283|67;
9803682|2786089|67;
9803672|2786284|67;
9803672|2786285|67;
9803680|2786090|67;
9803673|2786286|67;
9803679|2786091|68;
9803674|2786288|68;
9803676|2786092|68;
9803675|2786289|68;
9803675|2786093|68;
10612627500|2785734|3;
9802915|2786094|70;
5578111003|1|10;
10612454800|2786099|215;
9803826|2785670|24;
9803077|2786184|134;
9803078|2786185|135;
9802920|2786100|125;
9803847|2786101|87;
9803858|2786102|60;
10612624500|2785894|4;
10612624500|2785895|9;
10612624500|2785896|9;
10612624500|2785897|9;
10612624500|2785821|4;
10612624500|2785822|4;
10612624500|2785823|9;
10612624500|2785824|9;
10612624500|2785825|9;
10612624500|2785826|14;
10612624500|2785827|14;
10612624500|2786180|4;
10612624500|2786181|4;
10612624500|2786182|9;
10612624500|2786183|9;
10612624500|2786186|14;
10612624500|2786087|4;
10612624500|2786088|4;
10612624500|2786095|9;
10612624500|2786096|9;
10612624500|2786097|9;
10612624500|2786098|9;
10612624500|2785733|6;
10612624500|2785735|9;
10612624500|2785736|9;
10612624500|2785737|9;
10612624500|2785738|9;
10612624500|2785739|9;
10612624500|2785740|9;
10612624500|2785741|9;
10612624500|2785742|14;
10612624500|2785743|14;
10612624500|2785744|14;
10612624500|2786287|6;
10612624500|2786290|9;
10612624500|2786291|9;
10612624500|2786292|9;
10612624500|2786293|9;
10612624500|2786294|9;
10612624500|2786297|14;
10612624500|2785667|4;
10612624500|2785668|4;
10612624500|2785669|9;
10612624500|2786371|14;
10612624500|2786189|16;
10612624500|2785985|4;
10612624500|2785987|9;
10612624500|2785988|9;
10612624500|2785989|9;
10612624500|2785990|9;
10612624500|2785991|9;
10612624500|2785993|14;
10612628300|2785829|5;
9803627|2785899|45;
10612615200|2786296|50;
10612615200|2785661|4;
9803656|2786298|140;
9803081|2786190|139;
9803860|2786191|47;
10612600900|2785713|5;
9803080|2786192|141;
9803082|2786193|141;
10612628700|2786104|5;
10612616900|2785747|18;
9803027|2785748|65;
9803030|2785749|63;
10612628200|2785898|4;
10612628200|2785828|4;
10612628200|2786187|4;
10612628200|2786188|4;
10612628200|2785745|4;
10612628200|2785992|4;
10612620500|2786373|26;
9803854|2786194|69;
9804057|2786106|50;
9804057|2786107|50;
9803867|2786195|19;
10612627400|2786105|9;
9803865|2786196|41;
9803853|2786197|83;
5011437217801|2785056|4;
10612632700|2785902|5;
10612632600|2786110|5;
10612632000|2786111|5;
10612632300|2786112|5;
10612632500|2785752|5;
10612610700|2786374|101;
10612632200|2786375|5;
10612632100|2785996|5;
10612448000|2785986|214;
10612620500|2785994|26;
10612616700|2786295|26;
10612632400|2786302|5;
5577887303|1|320;
9803024|1|60;
10612631200|2785901|5;
10612631200|2786198|5;
10612631200|2786199|5;
10612631200|2786109|5;
10612631200|2785751|5;
10612631200|2786300|5;
10612631200|2786301|5;
10612631200|2786376|7;
10612631200|2785995|5;
9803293|1|630;
10612631200|2785830|5;
9803287|1|630;
9803290|1|630;
9803291|1|630;
9803292|1|630;
9803294|1|630;
9803295|1|630;
9803296|1|630;
9803282|1|630;
9803283|1|630;
9803284|1|630;
